item_id,item_url,brand_name,item_price,item_tikinow,item_discount_rate,item_rating_average,item_review_count,item_quantity
51354076,router-wi-fi-bang-tan-kep-gigabit-ac1200-totolink-a3002ru-v2-hang-chinh-hang-p51354076.html?spid=51354077,TOTOLINK,900000,false,0,4.8,5,0
56105692,man-chieu-treo-tuong-100-inch-70x70-1-78mx1-78m-p70ws-dalite-p56105692.html?spid=59411829,Dalite,529000,false,4,5,11,0
79267421,o-cu-ng-ssd-samsung-980-pro-pcie-gen-4-0-x4-nvme-v-nand-m-2-2280-500gb-ha-ng-nha-p-kha-u-p79267421.html?spid=79267422,Samsung,2490000,true,0,5,6,7
68514241,vi-tru-lanh-ledger-nano-s-chinh-hang-ledger-phap-nguyen-seal-moi-100-firmware-moi-nhat-p68514241.html?spid=76179985,Ledger,1490000,false,0,5,29,0
91272591,gia-treo-man-hinh-may-tinh-north-bayou-h100-lap-cho-man-hinh-tu-22-inch-35-inch-nhap-khau-p91272591.html?spid=126002997,,389900,,0,5,7,0
24255305,day-cap-mang-dau-cat5-bam-san-2-p24255305.html?spid=52184090,OEM,24950,true,0,4.7,143,18
55576273,day-cap-mang-ethernet-cat6-vention-dang-det-hai-dau-duc-san-utp-dai-1m-den-15m-hang-chinh-hang-p55576273.html?spid=70836261,VENTION,44000,false,0,5,100,0
113583018,may-in-laser-da-nang-canon-mf3010-hang-chinh-hang-p113583018.html?spid=113583019,Canon,3890000,false,0,5,1,0
74309855,thie-t-bi-ho-i-nghi-truye-n-hi-nh-jabra-speak-410-chinh-hang-p74309855.html?spid=74309856,Jabra,2790000,true,0,4.7,15,24
157045834,ram-pc-kingmax-ddr3-4gb-bus-1333mhz-1600mhz-hang-chinh-hang-p157045834.html?spid=157045838,,299000,,15,5,4,0
102902196,o-cung-hdd-500gb-wd-chuyen-camera-o-cung-western-500gb-wd500-hang-chinh-hang-p102902196.html?spid=145495438,Western,399000,false,0,3,2,0
6909331,bo-kich-song-wifi-repeater-bang-tan-kep-ac750-tp-link-re200-hang-chinh-hang-p6909331.html?spid=205369,TP-Link,453000,true,4,4.8,122,19
31262507,usb-thu-wifi-cho-pc-laptop-lb-link-hang-chinh-hang-p31262507.html?spid=57937412,,79000,,0,4.3,29,9
459632,muc-in-brother-bt5000m-ink-cho-dcp-t300-t700w-mfc-t800w-do-hang-chinh-hang-p459632.html?spid=2396507,Brother,150000,true,0,4.6,25,52
112131582,sac-danh-cho-laptop-asus-19v-2-37a-45w-dau-nho-size-4-0mmx1-35mm-p112131582.html?spid=112131583,OEM,190000,true,27,4.2,29,15
66566653,muc-nap-muc-do-cho-hop-muc-12a-49a-05a-canon-2900-3300-hp-1010-1020-p66566653.html?spid=66566654,HÃ  Anh,35000,false,0,5,14,500
76224605,giay-in-mau-ky-thuat-so-media-2-mat-bong-glossy-kho-a4-210-x-297mm-dinh-luong-160-230-260-300gsm-50-to-dung-in-anh-mau-tai-lieu-mau-hang-chinh-hang-p76224605.html?spid=76224609,OEM,105000,true,0,4.8,21,14
459629,muc-in-brother-bt5000c-ink-cho-dcp-t300-t700w-mfc-t800w-xanh-luc-hang-chinh-hang-p459629.html?spid=2396505,Brother,139000,true,0,5,21,1
138904895,nhan-in-bt-631-rong-12mm-8m-chu-den-nen-vang-danh-cho-may-in-brother-p-touch-p138904895.html?spid=138904896,OEM,70000,false,0,4,1,0
22555481,box-o-cung-2-5-inch-sata-usb-3-0-2577u3-p22555481.html?spid=27922787,,148000,,0,4.8,33,1
53320921,hop-muc-may-in-canon-lbp-6030-may-in-hp-1102-p53320921.html?spid=58355636,OEM,126000,true,0,4.8,28,28
92366838,hang-chat-luong-nguon-to-ong-12v-5a-10a-20a-30a-p92366838.html?spid=92366949,OEM,64000,false,0,4.3,6,0
42561568,hop-muc-in-premium-26a-hp-cf226a-cartridge-052-hang-nhap-khau-p42561568.html?spid=43138624,Premium,189000,true,0,5,8,20
137959617,man-hinh-vsp-22-inch-mau-trang-full-vien-chat-luong-cao-bao-hanh-24-thang-hang-chinh-hang-p137959617.html?spid=137959618,VSP,2789000,true,28,4.8,19,26
124903733,mac-mini-m1-p124903733.html?spid=73788534,Apple,17390000,true,13,5,173,7
74864583,man-hinh-may-tinh-lg-ultragear-27-ips-full-hd-144hz-1ms-gtg-nvidia-g-sync-compatible-hdr-27gn600-b-hang-chinh-hang-p74864583.html?spid=99296741,LG,6770000,false,23,5,7,2
187302002,lenovo-thinkpad-x1-gen-6-carbon-the-he-8-core-i5-8250u-ram-8g-ssd-256gb-14-fhd-sieu-mong-sieu-nhanh-hang-chinh-hang-p187302002.html?spid=187302006,Lenovo,8750000,false,13,5,1,0
161490539,hop-dung-o-cung-di-dong-hdd-ssd-box-2-5-vinetteam-usb-3-0-toc-do-6gbs-danh-cho-windows-mac-os-hang-chinh-hang-p161490539.html?spid=161490540,VINETTEAM,133000,false,34,4.5,11,10
169091071,o-cung-di-dong-silicon-power-1tb-2tb-a62-chong-nuoc-chong-soc-hang-chinh-hang-p169091071.html?spid=169091073,Silicon Power,1200000,false,25,5,6,0
97815365,bo-luu-dien-bo-cap-dien-lien-tuc-ups-prolink-pro851sfcu-850va-cong-suat-480w-hang-chinh-hang-co-cong-usb-p97815365.html?spid=97815366,Prolink,1290000,false,8,5,11,0
134583939,usb-3-1-sandisk-ultra-luxe-cz74-64gb-150mb-s-bac-hang-chinh-hang-p134583939.html?spid=71935991,SanDisk,230000,true,0,4.3,4,24
182308716,usb-hikvision-m200-32g-hang-chinh-hang-p182308716.html?spid=182308717,Hikvision,89000,false,0,5,4,0
54708669,o-cung-ssd-samsung-pm981a-m2-2280-pcie-nvme-hang-nhap-khau-p54708669.html?spid=54708671,Samsung,1080000,true,0,4.8,129,6
75590201,router-wifi-6-bang-tan-2-4-5ghz-tp-link-archer-ax10-hang-chinh-hang-p75590201.html?spid=77040115,TP-Link,1165000,true,0,4.8,42,3
11199995,o-cung-hdd-seagate-barracuda-2tb-64mb-3-5-st2000dm008-hang-chinh-hang-p11199995.html?spid=11199996,Seagate,1440000,true,18,3.9,125,34
76217352,giay-in-mau-ky-thuat-so-media-1-mat-bong-glossy-kho-a6-105-x-148mm-dinh-luong-210gsm-100-to-in-anh-mau-in-tai-lieu-mau-hang-chinh-hang-p76217352.html?spid=76217354,OEM,43000,true,0,4.6,41,44
94156607,man-hinh-may-tinh-lg-29wp60g-b-29-inch-ultrawide-fhd-hdr-ips-hang-chinh-hang-p94156607.html?spid=99302664,LG,6500000,true,2,4.8,12,3
54021947,thiet-bi-kich-song-wifi-xiaomi-pro-hang-chinh-hang-p54021947.html?spid=58138046,Xiaomi,249000,false,7,4.5,126,0
120484511,card-mo-rong-o-cung-ssd-m-2-qua-khe-pci-e-3-0-x4-orico-pdm2-hang-chinh-hang-p120484511.html?spid=138831027,Orico ,180000,false,0,5,9,0
10732310,usb-sound-card-am-thanh-7-1-p10732310.html?spid=12522242,OEM,31900,true,0,4.3,14,2
489692,usb-team-3-0-c155-32gb-hang-chinh-hang-p489692.html?spid=589792,TEAM GROUP,119000,true,21,4.1,20,18
174540948,usb-thu-wifi-loai-tot-co-ang-ten-danh-cho-may-tinh-de-ban-laptop-usb-thu-wifi-toc-do-cao-phuc-vu-hoc-online-xem-phim-choi-game-ket-noi-manh-me-on-dinh-p174540948.html?spid=174540949,OEM,77000,true,61,5,2,25
615977,bo-chia-mang-8-cong-100mbps-totolink-s808-hang-chinh-hang-p615977.html?spid=6762931,TOTOLINK,149000,false,42,4.7,25,20
2086067,may-in-hoa-don-xprinter-xp-58iih-hang-chinh-hang-p2086067.html?spid=44321465,Xprinter,419000,false,3,4.5,31,0
55162363,man-hinh-may-tinh-viewsonic-vx2776-sh-27-inch-fhd-75hz-hang-chinh-hang-p55162363.html?spid=56596390,Viewsonic,5540000,true,16,5,16,5
24902640,ram-pc-4gb-ddr3-bus-1600-ram-may-tinh-4gb-bo-nho-trong-dung-cho-pc-p24902640.html?spid=50762196,OEM,269000,true,40,4.3,59,46
8315046,day-mang-bam-san-2-dau-cat5-3m-mau-ngau-nhien-p8315046.html?spid=50460423,OEM,18910,true,0,4.7,48,19
161538112,box-o-cung-2-5-inch-hop-dung-o-cung-di-dong-hdd-vinetteam-usb-3-0-nhua-trong-suot-toc-do-5gbs-hang-chinh-hang-p161538112.html?spid=161538114,VINETTEAM,233000,false,7,4.8,10,11
96557692,kim-bam-day-mang-chinh-hang-deli-dl2468-p96557692.html?spid=96557693,Deli,145000,false,0,5,19,0
107579921,sac-laptop-danh-cho-dell-chan-kim-to-19-5v-4-62a-90w-kem-day-nguon-p107579921.html?spid=138557064,OEM,220000,true,0,4.3,21,7
67106618,muc-ha-brother-nap-do-cho-may-in-brother-dung-cho-may-hl1111-1010-1110-1510-1511-1610-1616-1810-1811-1815-hl-1200-1201-hl-1211w-dcp-1510-dcp-1601-dcp-1616nw-mfc-1811-mfc-1901-mfc-1916nw-xerox-p115-hl-2030-2040-2050-2070-2820-2910-2920-p67106618.html?spid=67106619,HA,45000,false,0,4.5,28,0
16609790,dia-cd-r-maxell-700mb-hang-chinh-hang-1-hop-10-cai-10-vo-dung-p16609790.html?spid=16609791,Maxell,189000,false,0,5,16,5
163871498,laptop-hp-envy-x360-13-bd0530tu-i5-1135g7-8gb-512gb-13-3-f-touch-pen-win11-4y0y4pa-vang-hang-chinh-hang-p163871498.html?spid=163871501,HP,22690000,false,14,0,0,0
7964489,cap-lap-trinh-console-usb-to-rj45-ftdi-chinh-hang-ugreen-50773-p7964489.html?spid=72683576,UGREEN,234000,false,31,4.5,2,0
21477056,hop-dung-o-cung-2-5-ssd-hdd-sata-3-orico-hdd-box-2-5-usb-3-0-hang-nhap-khau-p21477056.html?spid=58953371,,123000,,0,4.3,33,0
1059436,giay-in-nhan-dan-decal-media-1-mat-bong-a4-135gsm-50-to-hang-chinh-hang-p1059436.html?spid=1065138,Media Ink,116000,true,0,4.5,37,15
1677979,accesspoint-tp-link-eap225-a-b-g-n-ac-2-4ghz-5ghz-300-867mbps-hang-chinh-hang-p1677979.html?spid=52215982,TP-Link,1210000,false,0,3.5,2,0
17904891,hop-muc-tn-2385-dung-cho-may-in-brother-hl-l2320d-2321d-2340dw-p17904891.html?spid=26530672,OEM,128000,true,0,4.5,49,31
76218514,giay-in-mau-ky-thuat-so-media-1-mat-bong-glossy-kho-a5-148-x-210mm-dinh-luong-230gsm-100-to-dung-in-anh-mau-tai-lieu-mau-hang-chinh-hang-p76218514.html?spid=76218516,OEM,99000,true,0,4.8,20,37
147752132,muc-nuoc-may-in-mau-canon_k_1-lit-cho-may-canon-ix6770-canon-ix6860-canon-ix6820-canon-ix6560-g1000-g2000-g3000-g1010-g2010-g3010-p147752132.html?spid=147752133,OEM,140000,false,0,5,1,0
9845151,hop-muc-may-in-hp-85a-cartridge-catrich-toner-85a-1102-1212-1132-p9845151.html?spid=55966715,NC,125000,true,0,4.8,60,19
113395502,sac-danh-cho-laptop-hp-dau-kim-nho-vong-tron-xanh-size-4-5-mm-3-0-mm-for-hp-envy-p113395502.html?spid=113395503,OEM,235000,true,18,4.8,8,4
456503,tp-link-tl-sg1016d-switch-lap-tu-de-ban-16-cong-toc-do-gigabit-hang-chinh-hang-p456503.html?spid=164280,TP-Link,1670000,true,7,5,34,9
52043549,lo-muc-chinh-hang-epson-673-xanh-hang-chinh-hang-p52043549.html?spid=52043551,,290000,,0,5,1,0
165941799,man-hinh-may-tinh-samsung-ls19a330nhexxv-19-inch-1366-x-768-tn-60hz-vga-hdmi-hang-chinh-hang-p165941799.html?spid=165941800,Samsung,2510000,true,13,5,3,6
10001377,ram-laptop-hynix-8gb-ddr4-2666mhz-sodimm-hang-nhap-khau-p10001377.html?spid=11601754,Hynix,700000,true,0,4.8,70,13
183050828,quat-tan-nhiet-cho-dien-thoai-g6-cao-cap-tima-lala-hang-chinh-hang-p183050828.html?spid=183050830,TiMa.lala,69000,true,13,5,3,28
74162456,bo-phat-wifi-tp-link-archer-c80-bang-tan-kep-mu-mimo-ac1900-hang-chinh-hang-p74162456.html?spid=82033614,TP-Link,1099000,true,50,4.8,106,35
59471318,box-m-2-pcie-nvme-usb3-1-type-c-vo-nhom-cao-cap-m2pv-c3-bx48-p59471318.html?spid=59471319,OEM,415000,false,0,4.7,12,0
73687094,sac-danh-cho-laptop-dell-inspiron-5439-20-3043-p73687094.html?spid=104818631,OEM,190000,true,33,5,6,10
19701154,usb-thu-wifi-cho-may-tinh-p19701154.html?spid=41809779,OEM,56950,true,0,0,0,20
11199934,muc-in-phun-hp-680-mau-f6v26aa-hang-chinh-hang-p11199934.html?spid=15285094,HP,246000,true,0,5,35,3
2045569,day-cap-mang-ugreen-cat6-11208-25m-hang-chinh-hang-p2045569.html?spid=2052335,UGREEN,214000,true,3,5,189,3
11224567,o-cu-ng-ga-n-trong-ssd-crucial-mx500-500gb-2-5-inch-sata-iii-ct500mx500ssd1-hang-nhap-khau-p11224567.html?spid=11601573,Crucial,1450000,true,0,5,22,9
24896690,hop-muc-brother-tn-2280-la-toner-cho-may-in-brother-hl-2130-2240-2250-2270-7060-7360-7860-p24896690.html?spid=25953688,OEM,124900,true,0,4.5,35,12
74850075,o-cung-hdd-laptop-wd-blue-2tb-sata-6gb-s-2-5-inch-hang-nhap-khau-p74850075.html?spid=74850076,WD,1933200,true,0,4.7,53,11
99295070,he-thong-wifi-nova-mesh-cho-gia-dinh-tenda-mw3-chuan-ac-1200mbps-3-pack-hang-chinh-hang-p99295070.html?spid=99295073,Tenda,1699000,true,15,4.7,33,13
417018,card-mang-tp-link-tl-wn781nd-hang-chinh-hang-p417018.html?spid=120230,TP-Link,190000,false,5,4.5,78,5
10706084,o-cung-di-dong-wd-my-passport-ultra-1tb-hang-chinh-hang-p10706084.html?spid=10706086,WD,1940000,false,4,4.6,104,11
447634,usb-sandisk-3-0-ultra-cz48-32gb-hang-chinh-hang-p447634.html?spid=687100,SanDisk,131000,true,0,4.3,30,2
14380739,hop-muc-samsung-mltd101-samsung-ml-2160-2161-2164-2165-2165w-scx-3401-3450fw-3406-hang-nhap-khau-p14380739.html?spid=31256680,KOMAXI,223000,true,0,5,3,18
48116252,vo-case-may-tinh-mini-vsp-2873-hang-chinh-hang-p48116252.html?spid=48116253,VSP,250000,false,0,4.3,33,0
41446843,bo-dung-cu-thi-cong-mang-kim-mang-bo-test-mang-100-hat-mang-rj45-p41446843.html?spid=49589773,OEM,176000,true,7,0,0,7
137452864,o-cung-silicon-power-ssd-m-2-2280-sata-iii-hang-chinh-hang-p137452864.html?spid=137452868,Silicon Power,699000,false,18,5,6,0
68250770,den-ban-treo-man-hinh-may-tinh-baseus-3-che-do-sang-tang-giam-cuong-do-anh-sang-chong-moi-mat-va-bao-ve-mat-khoi-anh-sang-xanh-hang-nhap-khau-p68250770.html?spid=135499324,Baseus,382499,false,0,4.6,12,0
13957952,quat-tan-nhiet-33-bong-den-led-12cm-lam-mat-cho-case-may-tinh-p13957952.html?spid=58991277,OEM,43900,true,0,4.5,51,8
56658471,bo-phat-wifi-4g-huawei-e5576-hang-chinh-hang-p56658471.html?spid=58169382,Huawei,948000,true,0,5,6,4
86297296,de-gia-do-quat-tan-hut-nhiet-laptop-may-tinh-ben-tot-quat-tan-nhiet-to-chay-em-lam-mat-cuc-nhanh-p86297296.html?spid=86297300,OEM,189000,false,0,4.7,29,0
56097175,khay-dung-o-cung-caddy-bay-9-5mm-sieu-mong-p56097175.html?spid=71574063,ATA,55000,true,0,4.8,62,19
10697849,totolink-n150ua-usb-wi-fi-chuan-n-150mbps-hang-chinh-hang-p10697849.html?spid=10704951,TOTOLINK,179000,true,0,4.5,51,10
150672784,hop-muc-dung-cho-may-in-hp-107a-107w-135a-135w-137a-137w-ma-muc-w1107a-p150672784.html?spid=161944316,OEM,371900,true,0,1,1,8
